Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,26.538000,26.599001,26.450001,26.589001,25.209972,353000
2017-11-14,26.552000,26.552000,26.400000,26.531000,25.154985,213000
2017-11-15,26.400000,26.451000,26.205000,26.400000,25.030777,433000
2017-11-16,26.511000,26.770000,26.500000,26.739000,25.352194,291000
2017-11-17,26.759001,26.759001,26.667000,26.704000,25.319010,199000
2017-11-20,26.780001,26.792999,26.671000,26.730000,25.343658,299000
2017-11-21,26.908001,27.063000,26.860001,27.007000,25.606293,299000
2017-11-22,27.059999,27.059999,27.000999,27.052999,25.649908,209000
2017-11-24,27.098000,27.115999,27.046000,27.115999,25.709644,164000
2017-11-27,27.120001,27.138000,27.028000,27.093000,25.687834,340000
2017-11-28,27.134001,27.224001,27.028000,27.211000,25.799713,430000
2017-11-29,27.270000,27.270000,26.766001,26.882000,25.487772,562000
2017-11-30,26.996000,27.100000,26.945999,27.073000,25.668875,432000
2017-12-01,27.018000,27.035000,26.562000,26.959999,25.561731,574000
2017-12-04,27.250000,27.250000,26.664000,26.694000,25.309526,516000
2017-12-05,26.655001,26.905001,26.575001,26.656000,25.273497,299000
2017-12-06,26.493999,26.708000,26.421000,26.679001,25.295311,391000
2017-12-07,26.700001,26.868999,26.700001,26.827999,25.436577,171000
2017-12-08,27.018000,27.066999,26.902000,26.936001,25.538977,212000
2017-12-11,27.013000,27.099001,26.962000,27.080000,25.675507,227000
2017-12-12,27.121000,27.121000,27.013000,27.047001,25.644222,206000
2017-12-13,27.157000,27.174999,27.073000,27.106001,25.700157,218000
2017-12-14,27.181000,27.184999,26.990000,27.031000,25.629051,280000
2017-12-15,27.030001,27.270000,27.004999,27.215000,25.877218,342000
2017-12-18,27.405001,27.489000,27.405001,27.480000,26.129192,402000
2017-12-19,27.488001,27.488001,27.295000,27.360001,26.015091,521000
2017-12-20,27.445999,27.447001,27.242001,27.330999,25.987520,312000
2017-12-21,27.441999,27.445999,27.320000,27.370001,26.024603,286000
2017-12-22,27.414000,27.414000,27.271000,27.343000,25.998928,226000
2017-12-26,27.292000,27.292000,27.174999,27.228001,25.889580,308000
2017-12-27,27.205999,27.302000,27.205999,27.237000,25.898132,285000
2017-12-28,27.368000,27.368000,27.232000,27.282000,25.940926,320000
2017-12-29,27.330000,27.330000,27.112000,27.112000,25.779285,287000
2018-01-02,27.283001,27.500000,27.183001,27.500000,26.148211,677000
2018-01-03,27.610001,27.746000,27.573000,27.732000,26.368805,691000
2018-01-04,27.905001,27.905001,27.750999,27.795000,26.428709,480000
2018-01-05,27.958000,28.027000,27.795000,28.024000,26.646456,513000
2018-01-08,28.073000,28.115000,27.973000,28.113001,26.731079,634000
2018-01-09,28.212999,28.212999,28.073000,28.122000,26.739632,531000
2018-01-10,28.114000,28.114000,27.929001,28.079000,26.698750,468000
2018-01-11,28.187000,28.311001,28.104000,28.311001,26.919344,539000
2018-01-12,28.410999,28.497999,28.301001,28.495001,27.094299,357000
2018-01-16,28.698999,28.782000,28.270000,28.361000,26.966885,576000
2018-01-17,28.528999,28.686001,28.391001,28.658001,27.249287,299000
2018-01-18,28.697001,28.715000,28.575001,28.643999,27.235977,307000
2018-01-19,28.719000,28.785000,28.660000,28.761000,27.347223,275000
2018-01-22,28.830000,29.084000,28.792000,29.084000,27.654341,377000
2018-01-23,29.132999,29.313999,29.132999,29.295000,27.854977,507000
2018-01-24,29.396999,29.396999,28.959999,29.127001,27.695238,490000
2018-01-25,29.318001,29.318001,29.014000,29.097000,27.666704,624000
2018-01-26,29.250999,29.451000,29.174999,29.451000,28.003309,364000
2018-01-29,29.440001,29.440001,29.264999,29.320000,27.878742,440000
2018-01-30,29.017000,29.166000,28.937000,29.062000,27.633427,506000
2018-01-31,29.226000,29.245001,28.974001,29.100000,27.669563,391000
2018-02-01,28.900000,29.188000,28.844000,29.020000,27.593494,457000
2018-02-02,28.750999,28.837000,28.382999,28.400999,27.004919,1325000
2018-02-05,28.047001,28.504000,27.275000,27.357000,26.012241,2299000
2018-02-06,26.862000,27.945999,26.636000,27.903000,26.531401,1721000
2018-02-07,27.924999,28.079000,27.655001,27.655001,26.295591,1011000
2018-02-08,27.757999,27.757999,26.570000,26.572001,25.265823,1001000
2018-02-09,26.874001,27.090000,26.003000,26.941999,25.617641,1447000
2018-02-12,27.228001,27.514000,26.985001,27.393999,26.047419,665000
2018-02-13,27.372999,27.554001,27.223000,27.504000,26.152012,355000
2018-02-14,27.424999,28.056999,27.389999,28.045000,26.666426,463000
2018-02-15,28.363001,28.493999,27.983999,28.493999,27.093349,839000
2018-02-16,28.653999,28.684000,28.365000,28.447001,27.048656,732000
2018-02-20,28.368000,28.643000,28.301001,28.415001,27.018230,401000
2018-02-21,28.528000,28.799000,28.316000,28.316000,26.924103,363000
2018-02-22,28.500000,28.547001,28.219999,28.297001,26.906034,367000
2018-02-23,28.531000,28.775000,28.396000,28.775000,27.360537,259000
2018-02-26,28.950001,29.125999,28.801001,29.108000,27.677168,758000
2018-02-27,29.179001,29.181999,28.781000,28.781000,27.366241,449000
2018-02-28,28.964001,28.983000,28.551001,28.559000,27.155155,378000
2018-03-01,28.502001,28.672001,27.920000,28.191999,26.806200,721000
2018-03-02,27.796000,28.511000,27.796000,28.478001,27.078133,510000
2018-03-05,28.433001,28.834000,28.285999,28.767000,27.352934,324000
2018-03-06,28.834999,28.958000,28.714001,28.934000,27.511721,388000
2018-03-07,28.622999,29.047001,28.622999,29.027000,27.600145,480000
2018-03-08,29.100000,29.165001,29.020000,29.142000,27.709497,360000
2018-03-09,29.316000,29.650000,29.316000,29.650000,28.192522,542000
