Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,82.330002,82.639999,82.300003,82.620003,70.497459,547100
2017-11-14,82.349998,82.540001,82.080002,82.540001,70.429184,878200
2017-11-15,82.169998,82.339996,81.940002,82.099998,70.053741,763900
2017-11-16,82.449997,82.839996,82.330002,82.720001,70.582779,665800
2017-11-17,82.529999,82.620003,82.430000,82.459999,70.360916,596300
2017-11-20,82.510002,82.699997,82.410004,82.629997,70.505974,793800
2017-11-21,82.879997,83.110001,82.849998,82.959999,70.787560,1254000
2017-11-22,83.040001,83.050003,82.849998,82.910004,70.744911,700400
2017-11-24,83.050003,83.089996,82.980003,83.019997,70.838753,275000
2017-11-27,83.010002,83.160004,82.989998,83.040001,70.855820,872300
2017-11-28,83.220001,84.099998,83.169998,84.070000,71.734703,1200400
2017-11-29,84.180000,84.629997,84.160004,84.500000,72.101616,880400
2017-11-30,84.680000,85.430000,84.660004,85.010002,72.536766,1158200
2017-12-01,84.989998,85.209999,83.900002,84.989998,72.519699,1060700
2017-12-04,85.570000,85.830002,85.169998,85.190002,72.690353,1275700
2017-12-05,85.379997,85.510002,84.779999,84.820000,72.374649,1494100
2017-12-06,84.830002,84.959999,84.720001,84.779999,72.340500,1670600
2017-12-07,84.720001,84.989998,84.650002,84.849998,72.400253,983100
2017-12-08,85.089996,85.330002,84.959999,85.330002,72.809814,911500
2017-12-11,85.370003,85.650002,85.279999,85.629997,73.065804,1290700
2017-12-12,85.739998,85.970001,85.629997,85.830002,73.236465,586900
2017-12-13,85.879997,86.139999,85.849998,85.910004,73.304718,1360000
2017-12-14,86.029999,86.029999,85.370003,85.389999,72.861015,993800
2017-12-15,85.779999,86.290001,85.730003,86.099998,73.466843,1274500
2017-12-18,86.550003,86.889999,86.449997,86.500000,73.808144,1391200
2017-12-19,86.730003,86.730003,86.209999,86.239998,73.586296,1304300
2017-12-20,86.559998,86.699997,86.070000,86.169998,73.526581,1077200
2017-12-21,85.760002,85.900002,85.519997,85.650002,73.632317,1110900
2017-12-22,85.739998,85.800003,85.529999,85.690002,73.666687,1416300
2017-12-26,85.669998,85.849998,85.570000,85.639999,73.623726,1192500
2017-12-27,85.769997,85.860001,85.599998,85.730003,73.701080,806100
2017-12-28,85.910004,85.940002,85.699997,85.879997,73.830032,875400
2017-12-29,85.970001,86.070000,85.589996,85.629997,73.615128,1211500
2018-01-02,85.879997,86.070000,85.669998,85.919998,73.864426,1534300
2018-01-03,86.000000,86.230003,85.800003,86.199997,74.105141,1170300
2018-01-04,86.370003,86.760002,86.290001,86.580002,74.431808,964500
2018-01-05,86.849998,87.000000,86.559998,86.970001,74.767105,1280200
2018-01-08,86.970001,87.169998,86.769997,87.129997,74.904640,1469500
2018-01-09,87.279999,87.599998,87.209999,87.279999,75.033607,1590700
2018-01-10,87.099998,87.290001,86.820000,87.129997,74.904640,920700
2018-01-11,87.370003,87.730003,87.190002,87.709999,75.403275,1138700
2018-01-12,87.900002,88.309998,87.709999,88.199997,75.824516,896800
2018-01-16,88.559998,88.820000,87.690002,87.949997,75.609589,2209700
2018-01-17,88.330002,89.050003,88.160004,88.879997,76.409103,1125100
2018-01-18,88.919998,88.959999,88.510002,88.589996,76.159790,1636600
2018-01-19,88.800003,88.889999,88.550003,88.879997,76.409103,1047400
2018-01-22,88.849998,89.629997,88.809998,89.629997,77.053879,1260000
2018-01-23,89.599998,89.690002,89.430000,89.529999,76.967888,1978800
2018-01-24,89.739998,89.970001,89.139999,89.489998,76.933510,893000
2018-01-25,89.809998,89.900002,89.349998,89.620003,77.045280,905200
2018-01-26,89.970001,90.930000,89.959999,90.910004,78.154266,965600
2018-01-29,90.739998,90.839996,90.290001,90.320000,77.647064,1060600
2018-01-30,89.750000,90.019997,89.160004,89.180000,76.667000,1791300
2018-01-31,89.550003,89.570000,88.680000,89.150002,76.641220,854400
2018-02-01,88.830002,89.480003,88.809998,89.070000,76.572426,897200
2018-02-02,88.480003,88.559998,87.150002,87.180000,74.947609,1604400
2018-02-05,86.419998,87.050003,83.000000,83.489998,71.775391,2997800
2018-02-06,82.099998,84.849998,81.599998,84.680000,72.798393,3073500
2018-02-07,84.489998,85.860001,84.279999,84.510002,72.652260,1524700
2018-02-08,84.529999,84.720001,81.610001,81.650002,70.193573,1610300
2018-02-09,82.540001,83.480003,80.320000,82.919998,71.285355,2101600
2018-02-12,83.540001,84.410004,83.000000,83.889999,72.119247,1142500
2018-02-13,83.540001,84.320000,83.300003,84.169998,72.359947,754300
2018-02-14,83.730003,85.070000,83.620003,84.959999,73.039116,777800
2018-02-15,85.550003,85.970001,84.779999,85.970001,73.907410,804700
2018-02-16,85.800003,86.790001,85.779999,86.080002,74.001968,641200
2018-02-20,85.650002,85.889999,85.000000,85.250000,73.288437,1413400
2018-02-21,85.370003,86.099998,84.620003,84.620003,72.746826,823400
2018-02-22,84.900002,85.610001,84.529999,84.730003,72.841400,863200
2018-02-23,85.180000,86.120003,85.010002,86.120003,74.036346,556500
2018-02-26,86.500000,87.169998,86.279999,87.139999,74.913261,650800
2018-02-27,87.260002,87.599998,86.070000,86.080002,74.001968,849400
2018-02-28,86.480003,86.599998,84.930000,84.940002,73.021935,1011700
2018-03-01,84.949997,85.559998,83.459999,84.010002,72.222412,2086600
2018-03-02,83.440002,84.540001,83.150002,84.330002,72.497520,748700
2018-03-05,83.940002,85.519997,83.919998,85.300003,73.331421,757300
2018-03-06,85.610001,85.629997,84.849998,85.349998,73.374397,709700
2018-03-07,84.580002,85.279999,84.389999,85.180000,73.228264,925800
2018-03-08,85.419998,85.610001,85.070000,85.599998,73.589310,579400
2018-03-09,86.120003,86.900002,85.860001,86.889999,74.698326,776600
2018-03-12,87.000000,87.199997,86.489998,86.639999,74.483406,833000
2018-03-13,86.970001,87.269997,86.010002,86.199997,74.105141,674200
2018-03-14,86.610001,86.669998,85.410004,85.599998,73.589310,654800
2018-03-15,85.769997,85.970001,85.349998,85.510002,73.511963,618400
2018-03-16,85.589996,86.070000,85.589996,85.750000,73.718285,594600
2018-03-19,85.559998,85.599998,84.160004,84.690002,72.806999,622500
2018-03-20,84.900002,85.139999,84.599998,84.739998,72.849991,434100
